"Politikus";"Ellenzéki chi p value";"Kormánypárti chi p value";"Chi squared test p value";"Cramer V";"Ellenzéki OR";"Conf. intervall_97.5";"Conf. intervall_2.5";"Kormánypárti OR";"Conf. intervall_97.5";"Conf. intervall_2.5";"Ellenzéki/Kormánypárti COR"
"Vona Gábor";2,53926760180027e-06;0,0373629993524915;3,71983936034787e-30;0,234984534159722;0,364629438423038;0,563221421241237;0,229503079067828;0,602933289810017;0,965727542949615;0,365976331943676;0,604759174166569
"Szél Bernadett";0,125935213063819;0,28186538335138;0,0463095046475034;0,137562013767533;0,475117970877446;1,16591485558709;0,168597129617998;2,0730478246442;6,57601032288078;0,589067125335715;0,22918813798181
"Orbán Viktor";1,54254861136767e-23;0,000150706299984861;3,21791057551292e-106;0,227089226512499;1,67541099416076;1,85642175715729;1,51196159180601;1,35835748531131;1,59466645591625;1,15760898682536;1,23340947598694
"Gyurcsány Ferenc";0,208437793912544;0,0244192297171227;0,0156354561121579;0,0834438886277347;0,601628993833205;1,24848855413703;0,263657640421492;0,389292851006176;0,868712067167395;0,147983412254804;1,54544064263759
"Karácsony Gergely";0,230294832323554;0,14963461546651;4,66459327789687e-12;0,287271727886204;0,672816448304585;1,25859339063685;0,363035818321575;0,551822453569496;1,19026989660195;0,238868613907952;1,21926254350912
